timestamp,uid,name,currentfill,freespace,maxspace
2026-07-20 08:59:36,BADI-1,Enge,37,163,200
2026-07-20 08:59:36,flb6939,Flussbad Oberer Letten,6,994,1000
2026-07-20 08:59:36,flb6940,Flussbad Unterer Letten,2,798,800
2026-07-20 08:59:36,flb8803,Flussbad Unterer Letten (Flussteil),0,800,800
2026-07-20 08:59:36,flb6941,Frauenbad Stadthausquai,25,325,350
2026-07-20 08:59:36,fb006,Freibad Allenmoos,1,7499,7500
2026-07-20 08:59:36,fb008,Freibad Auhof,1,2000,2001
2026-07-20 08:59:36,fb012,Freibad Heuried,13,2587,2600
2026-07-20 08:59:36,LETZI-1,Freibad Letzigraben,35,3765,3800
2026-07-20 08:59:36,SSD-11,Freibad Seebach,12,1988,2000
2026-07-20 08:59:36,fb018,Freibad Zwischen den Hölzern,1,2999,3000
2026-07-20 08:59:36,SSD-2,Hallenbad Blaesi,0,70,70
2026-07-20 08:59:36,SSD-3,Hallenbad Bungertwies,1,27,28
2026-07-20 08:59:36,SSD-4,Hallenbad City,3,217,220
2026-07-20 08:59:36,SSD-6,Hallenbad Leimbach,0,80,80
2026-07-20 08:59:36,SSD-7,Hallenbad Oerlikon,29,171,200
2026-07-20 08:59:36,SSD-10,Seebad Utoquai,65,735,800
2026-07-20 08:59:36,seb6946,Strandbad Mythenquai,28,4472,4500
2026-07-20 08:59:36,seb6947,Strandbad Tiefenbrunnen,0,3500,3500
2026-07-20 08:59:36,seb6948,Strandbad Wollishofen,2,698,700
2026-07-20 08:59:36,SSD-5,Waermebad Kaeferberg,4,66,70
2026-07-20 09:14:17,BADI-1,Enge,38,162,200
2026-07-20 09:14:17,flb6939,Flussbad Oberer Letten,45,955,1000
2026-07-20 09:14:17,flb6940,Flussbad Unterer Letten,3,797,800
2026-07-20 09:14:17,flb8803,Flussbad Unterer Letten (Flussteil),17,783,800
2026-07-20 09:14:17,flb6941,Frauenbad Stadthausquai,28,322,350
2026-07-20 09:14:17,fb006,Freibad Allenmoos,22,7478,7500
2026-07-20 09:14:17,fb008,Freibad Auhof,12,1989,2001
2026-07-20 09:14:17,fb012,Freibad Heuried,26,2574,2600
2026-07-20 09:14:17,LETZI-1,Freibad Letzigraben,38,3762,3800
2026-07-20 09:14:17,SSD-11,Freibad Seebach,13,1987,2000
2026-07-20 09:14:17,fb018,Freibad Zwischen den Hölzern,11,2989,3000
2026-07-20 09:14:17,SSD-2,Hallenbad Blaesi,0,70,70
2026-07-20 09:14:17,SSD-3,Hallenbad Bungertwies,1,27,28
2026-07-20 09:14:17,SSD-4,Hallenbad City,3,217,220
2026-07-20 09:14:17,SSD-6,Hallenbad Leimbach,0,80,80
2026-07-20 09:14:17,SSD-7,Hallenbad Oerlikon,24,176,200
2026-07-20 09:14:17,SSD-10,Seebad Utoquai,67,733,800
2026-07-20 09:14:17,seb6946,Strandbad Mythenquai,35,4465,4500
2026-07-20 09:14:17,seb6947,Strandbad Tiefenbrunnen,33,3467,3500
2026-07-20 09:14:17,seb6948,Strandbad Wollishofen,14,686,700
2026-07-20 09:14:17,SSD-5,Waermebad Kaeferberg,2,68,70
2026-07-20 09:15:05,BADI-1,Enge,39,161,200
2026-07-20 09:15:05,flb6939,Flussbad Oberer Letten,45,955,1000
2026-07-20 09:15:05,flb6940,Flussbad Unterer Letten,3,797,800
2026-07-20 09:15:05,flb8803,Flussbad Unterer Letten (Flussteil),17,783,800
2026-07-20 09:15:05,flb6941,Frauenbad Stadthausquai,29,321,350
2026-07-20 09:15:05,fb006,Freibad Allenmoos,22,7478,7500
2026-07-20 09:15:05,fb008,Freibad Auhof,12,1989,2001
2026-07-20 09:15:05,fb012,Freibad Heuried,26,2574,2600
2026-07-20 09:15:05,LETZI-1,Freibad Letzigraben,38,3762,3800
2026-07-20 09:15:05,SSD-11,Freibad Seebach,13,1987,2000
2026-07-20 09:15:05,fb018,Freibad Zwischen den Hölzern,11,2989,3000
2026-07-20 09:15:05,SSD-2,Hallenbad Blaesi,0,70,70
2026-07-20 09:15:05,SSD-3,Hallenbad Bungertwies,1,27,28
2026-07-20 09:15:05,SSD-4,Hallenbad City,3,217,220
2026-07-20 09:15:05,SSD-6,Hallenbad Leimbach,0,80,80
2026-07-20 09:15:05,SSD-7,Hallenbad Oerlikon,24,176,200
2026-07-20 09:15:05,SSD-10,Seebad Utoquai,68,732,800
2026-07-20 09:15:05,seb6946,Strandbad Mythenquai,35,4465,4500
2026-07-20 09:15:05,seb6947,Strandbad Tiefenbrunnen,35,3465,3500
2026-07-20 09:15:05,seb6948,Strandbad Wollishofen,14,686,700
2026-07-20 09:15:05,SSD-5,Waermebad Kaeferberg,2,68,70
2026-07-20 09:29:22,BADI-1,Enge,45,155,200
2026-07-20 09:29:22,flb6939,Flussbad Oberer Letten,53,947,1000
2026-07-20 09:29:22,flb6940,Flussbad Unterer Letten,7,793,800
2026-07-20 09:29:22,flb8803,Flussbad Unterer Letten (Flussteil),11,789,800
2026-07-20 09:29:22,flb6941,Frauenbad Stadthausquai,31,319,350
2026-07-20 09:29:22,fb006,Freibad Allenmoos,30,7470,7500
2026-07-20 09:29:22,fb008,Freibad Auhof,10,1991,2001
2026-07-20 09:29:22,fb012,Freibad Heuried,43,2557,2600
2026-07-20 09:29:22,LETZI-1,Freibad Letzigraben,44,3756,3800
2026-07-20 09:29:22,SSD-11,Freibad Seebach,21,1979,2000
2026-07-20 09:29:22,fb018,Freibad Zwischen den Hölzern,12,2988,3000
2026-07-20 09:29:22,SSD-2,Hallenbad Blaesi,0,70,70
2026-07-20 09:29:22,SSD-3,Hallenbad Bungertwies,1,27,28
2026-07-20 09:29:22,SSD-4,Hallenbad City,3,217,220
2026-07-20 09:29:22,SSD-6,Hallenbad Leimbach,0,80,80
2026-07-20 09:29:22,SSD-7,Hallenbad Oerlikon,25,175,200
2026-07-20 09:29:22,SSD-10,Seebad Utoquai,66,734,800
2026-07-20 09:29:22,seb6946,Strandbad Mythenquai,45,4455,4500
2026-07-20 09:29:22,seb6947,Strandbad Tiefenbrunnen,46,3454,3500
2026-07-20 09:29:22,seb6948,Strandbad Wollishofen,16,684,700
2026-07-20 09:29:22,SSD-5,Waermebad Kaeferberg,2,68,70
2026-07-20 09:30:03,BADI-1,Enge,44,156,200
2026-07-20 09:30:03,flb6939,Flussbad Oberer Letten,53,947,1000
2026-07-20 09:30:03,flb6940,Flussbad Unterer Letten,7,793,800
2026-07-20 09:30:03,flb8803,Flussbad Unterer Letten (Flussteil),11,789,800
2026-07-20 09:30:03,flb6941,Frauenbad Stadthausquai,31,319,350
2026-07-20 09:30:03,fb006,Freibad Allenmoos,32,7468,7500
2026-07-20 09:30:03,fb008,Freibad Auhof,10,1991,2001
2026-07-20 09:30:03,fb012,Freibad Heuried,40,2560,2600
2026-07-20 09:30:03,LETZI-1,Freibad Letzigraben,44,3756,3800
2026-07-20 09:30:03,SSD-11,Freibad Seebach,21,1979,2000
2026-07-20 09:30:03,fb018,Freibad Zwischen den Hölzern,12,2988,3000
2026-07-20 09:30:03,SSD-2,Hallenbad Blaesi,0,70,70
2026-07-20 09:30:03,SSD-3,Hallenbad Bungertwies,1,27,28
2026-07-20 09:30:03,SSD-4,Hallenbad City,3,217,220
2026-07-20 09:30:03,SSD-6,Hallenbad Leimbach,0,80,80
2026-07-20 09:30:03,SSD-7,Hallenbad Oerlikon,26,174,200
2026-07-20 09:30:03,SSD-10,Seebad Utoquai,66,734,800
2026-07-20 09:30:03,seb6946,Strandbad Mythenquai,47,4453,4500
2026-07-20 09:30:03,seb6947,Strandbad Tiefenbrunnen,47,3453,3500
2026-07-20 09:30:03,seb6948,Strandbad Wollishofen,14,686,700
2026-07-20 09:30:03,SSD-5,Waermebad Kaeferberg,2,68,70
2026-07-20 09:44:18,BADI-1,Enge,42,158,200
2026-07-20 09:44:18,flb6939,Flussbad Oberer Letten,54,946,1000
2026-07-20 09:44:18,flb6940,Flussbad Unterer Letten,8,792,800
2026-07-20 09:44:18,flb8803,Flussbad Unterer Letten (Flussteil),10,790,800
2026-07-20 09:44:18,flb6941,Frauenbad Stadthausquai,32,318,350
2026-07-20 09:44:18,fb006,Freibad Allenmoos,32,7468,7500
2026-07-20 09:44:18,fb008,Freibad Auhof,11,1990,2001
2026-07-20 09:44:18,fb012,Freibad Heuried,43,2557,2600
2026-07-20 09:44:18,LETZI-1,Freibad Letzigraben,59,3741,3800
2026-07-20 09:44:18,SSD-11,Freibad Seebach,22,1978,2000
2026-07-20 09:44:18,fb018,Freibad Zwischen den Hölzern,14,2986,3000
2026-07-20 09:44:18,SSD-2,Hallenbad Blaesi,0,70,70
2026-07-20 09:44:18,SSD-3,Hallenbad Bungertwies,1,27,28
2026-07-20 09:44:18,SSD-4,Hallenbad City,3,217,220
2026-07-20 09:44:18,SSD-6,Hallenbad Leimbach,0,80,80
2026-07-20 09:44:18,SSD-7,Hallenbad Oerlikon,29,171,200
2026-07-20 09:44:18,SSD-10,Seebad Utoquai,75,725,800
2026-07-20 09:44:18,seb6946,Strandbad Mythenquai,67,4433,4500
2026-07-20 09:44:18,seb6947,Strandbad Tiefenbrunnen,56,3444,3500
2026-07-20 09:44:18,seb6948,Strandbad Wollishofen,17,683,700
2026-07-20 09:44:18,SSD-5,Waermebad Kaeferberg,2,68,70
2026-07-20 09:45:03,BADI-1,Enge,42,158,200
2026-07-20 09:45:03,flb6939,Flussbad Oberer Letten,53,947,1000
2026-07-20 09:45:03,flb6940,Flussbad Unterer Letten,6,794,800
2026-07-20 09:45:03,flb8803,Flussbad Unterer Letten (Flussteil),10,790,800
2026-07-20 09:45:03,flb6941,Frauenbad Stadthausquai,32,318,350
2026-07-20 09:45:03,fb006,Freibad Allenmoos,32,7468,7500
2026-07-20 09:45:03,fb008,Freibad Auhof,11,1990,2001
2026-07-20 09:45:03,fb012,Freibad Heuried,43,2557,2600
2026-07-20 09:45:03,LETZI-1,Freibad Letzigraben,60,3740,3800
2026-07-20 09:45:03,SSD-11,Freibad Seebach,22,1978,2000
2026-07-20 09:45:03,fb018,Freibad Zwischen den Hölzern,14,2986,3000
2026-07-20 09:45:03,SSD-2,Hallenbad Blaesi,0,70,70
2026-07-20 09:45:03,SSD-3,Hallenbad Bungertwies,1,27,28
2026-07-20 09:45:03,SSD-4,Hallenbad City,3,217,220
2026-07-20 09:45:03,SSD-6,Hallenbad Leimbach,0,80,80
2026-07-20 09:45:03,SSD-7,Hallenbad Oerlikon,28,172,200
2026-07-20 09:45:03,SSD-10,Seebad Utoquai,75,725,800
2026-07-20 09:45:03,seb6946,Strandbad Mythenquai,67,4433,4500
2026-07-20 09:45:03,seb6947,Strandbad Tiefenbrunnen,57,3443,3500
2026-07-20 09:45:03,seb6948,Strandbad Wollishofen,17,683,700
2026-07-20 09:45:03,SSD-5,Waermebad Kaeferberg,2,68,70
2026-07-20 09:59:20,BADI-1,Enge,41,159,200
2026-07-20 09:59:20,flb6939,Flussbad Oberer Letten,59,941,1000
2026-07-20 09:59:20,flb6940,Flussbad Unterer Letten,5,795,800
2026-07-20 09:59:20,flb8803,Flussbad Unterer Letten (Flussteil),18,782,800
2026-07-20 09:59:20,flb6941,Frauenbad Stadthausquai,33,317,350
2026-07-20 09:59:20,fb006,Freibad Allenmoos,36,7464,7500
2026-07-20 09:59:20,fb008,Freibad Auhof,18,1983,2001
2026-07-20 09:59:20,fb012,Freibad Heuried,46,2554,2600
2026-07-20 09:59:20,LETZI-1,Freibad Letzigraben,72,3728,3800
2026-07-20 09:59:20,SSD-11,Freibad Seebach,24,1976,2000
2026-07-20 09:59:20,fb018,Freibad Zwischen den Hölzern,14,2986,3000
2026-07-20 09:59:20,SSD-2,Hallenbad Blaesi,0,70,70
2026-07-20 09:59:20,SSD-3,Hallenbad Bungertwies,1,27,28
2026-07-20 09:59:20,SSD-4,Hallenbad City,2,218,220
2026-07-20 09:59:20,SSD-6,Hallenbad Leimbach,0,80,80
2026-07-20 09:59:20,SSD-7,Hallenbad Oerlikon,29,171,200
2026-07-20 09:59:20,SSD-10,Seebad Utoquai,81,719,800
2026-07-20 09:59:20,seb6946,Strandbad Mythenquai,88,4412,4500
2026-07-20 09:59:20,seb6947,Strandbad Tiefenbrunnen,64,3436,3500
2026-07-20 09:59:20,seb6948,Strandbad Wollishofen,25,675,700
2026-07-20 09:59:20,SSD-5,Waermebad Kaeferberg,2,68,70
2026-07-20 10:00:04,BADI-1,Enge,40,160,200
2026-07-20 10:00:04,flb6939,Flussbad Oberer Letten,59,941,1000
2026-07-20 10:00:04,flb6940,Flussbad Unterer Letten,4,796,800
2026-07-20 10:00:04,flb8803,Flussbad Unterer Letten (Flussteil),19,781,800
2026-07-20 10:00:04,flb6941,Frauenbad Stadthausquai,33,317,350
2026-07-20 10:00:04,fb006,Freibad Allenmoos,38,7462,7500
2026-07-20 10:00:04,fb008,Freibad Auhof,20,1981,2001
2026-07-20 10:00:04,fb012,Freibad Heuried,45,2555,2600
2026-07-20 10:00:04,LETZI-1,Freibad Letzigraben,72,3728,3800
2026-07-20 10:00:04,SSD-11,Freibad Seebach,24,1976,2000
2026-07-20 10:00:04,fb018,Freibad Zwischen den Hölzern,14,2986,3000
2026-07-20 10:00:04,SSD-2,Hallenbad Blaesi,0,70,70
2026-07-20 10:00:04,SSD-3,Hallenbad Bungertwies,1,27,28
2026-07-20 10:00:04,SSD-4,Hallenbad City,3,217,220
2026-07-20 10:00:04,SSD-6,Hallenbad Leimbach,0,80,80
2026-07-20 10:00:04,SSD-7,Hallenbad Oerlikon,29,171,200
2026-07-20 10:00:04,SSD-10,Seebad Utoquai,81,719,800
2026-07-20 10:00:04,seb6946,Strandbad Mythenquai,90,4410,4500
2026-07-20 10:00:04,seb6947,Strandbad Tiefenbrunnen,66,3434,3500
2026-07-20 10:00:04,seb6948,Strandbad Wollishofen,25,675,700
2026-07-20 10:00:04,SSD-5,Waermebad Kaeferberg,2,68,70
